time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N,ptoPower_W,faultName,severity,Hs,Tp,runID,phaseSeed,Bfault_NsPm
0,8.18908806427497e-23,-0.719999999999999,6.47852441355353e-20,0,0,-8.83785833034838e-25,-0,pto_damping_loss,0.6,1.6,7.2,288,18,720000
0.1,-1.18269107504906e-10,-0.7200000003578,-5.51349935065841e-12,-3.79312312929297e-10,-1.51569520792256e-08,0.0109130054970423,-1.65407901358995e-10,pto_damping_loss,0.6,1.6,7.2,288,18,720000
0.2,-2.19843539194155e-09,-0.720000006642813,-1.01416827126702e-10,-7.05057095861495e-09,-1.4712828962677e-07,0.105932368531275,-1.55856481981192e-08,pto_damping_loss,0.6,1.6,7.2,288,18,720000
0.3,-1.21413535916494e-08,-0.720000036829958,-5.54748549127455e-10,-3.91191664381544e-08,-5.51579375651124e-07,0.397137150468802,-2.19052661503448e-07,pto_damping_loss,0.6,1.6,7.2,288,18,720000
0.4,-4.05274592497028e-08,-0.72000012402917,-1.83061162125842e-09,-1.31828638356094e-07,-1.38578019075451e-06,0.997761737343243,-1.38267845070307e-06,pto_damping_loss,0.6,1.6,7.2,288,18,720000
0.5,-1.01040841782388e-07,-0.720000314499774,-4.50261378398445e-09,-3.34483054359449e-07,-2.76682019386891e-06,1.99211053958561,-5.51181166934457e-06,pto_damping_loss,0.6,1.6,7.2,288,18,720000
0.6,-2.06899223098339e-07,-0.720000662625257,-9.07695891781941e-09,-7.05096622534245e-07,-4.74940012612539e-06,3.41956809081026,-1.62408971217886e-05,pto_damping_loss,0.6,1.6,7.2,288,18,720000
0.7,-3.6591111969585e-07,-0.720001224731472,-1.57704040904867e-08,-1.30378730588261e-06,-7.32138575812567e-06,5.27139774585045,-3.85939363818852e-05,pto_damping_loss,0.6,1.6,7.2,288,18,720000
0.8,-5.74874652745969e-07,-0.720002052970184,-2.42847318964743e-08,-2.18625794591994e-06,-1.04079395713331e-05,7.49371649135983,-7.79941484067757e-05,pto_damping_loss,0.6,1.6,7.2,288,18,720000
0.9,-8.13862724809738e-07,-0.720003189644618,-3.36082860281279e-08,-3.39780359618752e-06,-1.38767378889484e-05,9.99125128004285,-0.000138645975195775,pto_damping_loss,0.6,1.6,7.2,288,18,720000
1,-1.04072068418378e-06,-0.720004661899829,-4.18599823197984e-08,-4.96777176058758e-06,-1.75416914266454e-05,12.6300178271846,-0.000221551875437503,pto_damping_loss,0.6,1.6,7.2,288,18,720000
1.1,-1.18596930615311e-06,-0.720006476683455,-4.61804185108049e-08,-6.90435338099605e-06,-2.11662707062179e-05,15.2397149084769,-0.000322567931238407,pto_damping_loss,0.6,1.6,7.2,288,18,720000
1.2,-1.14828772557412e-06,-0.720008616074839,-4.26702026449516e-08,-9.18977282438013e-06,-2.44686027073585e-05,17.6173939492981,-0.000431073013284396,pto_damping_loss,0.6,1.6,7.2,288,18,720000
1.3,-7.9080639056356e-07,-0.720011033256686,-2.63755847109537e-08,-1.17761359204005e-05,-2.71297229219519e-05,19.5334005038054,-0.000529935743391756,pto_damping_loss,0.6,1.6,7.2,288,18,720000
1.4,6.14932780196963e-08,-0.720013649462281,8.67707728106158e-09,-1.4582269479647e-05,-2.88050908811377e-05,20.7396654344191,-0.000597407947682834,pto_damping_loss,0.6,1.6,7.2,288,18,720000
1.5,1.62294410560072e-06,-0.720016352182927,6.93957853036813e-08,-1.7491846349327e-05,-2.91386009822381e-05,20.9797927072114,-0.0006113218083855,pto_damping_loss,0.6,1.6,7.2,288,18,720000
1.6,4.14661418983937e-06,-0.720018994824347,1.6348489452331e-07,-2.03529937989112e-05,-2.77780482705733e-05,20.0001947548127,-0.000555566375320055,pto_damping_loss,0.6,1.6,7.2,288,18,720000
1.7,7.92173727326783e-06,-0.720021397905601,2.99255195830487e-07,-2.29794820542637e-05,-2.43911211770717e-05,17.5616072474915,-0.000428347290437706,pto_damping_loss,0.6,1.6,7.2,288,18,720000
1.8,1.32689941237731e-05,-0.720023351818089,4.85384970708173e-07,-2.51535073536379e-05,-1.8681196105889e-05,13.4504611962401,-0.000251270703321611,pto_damping_loss,0.6,1.6,7.2,288,18,720000
