runID,stateName,Hs,Tp,stateProbability,phaseSeed,split,faultName,severity,Bfault_NsPm,csvPath,expectedDamping_NsPm,estimatedDamping_NsPm,relativeDampingError,forceLawMaxError_N,forceLawRelativeError,powerConsistencyError_W,completed
1,State1_Calm,1.1,8.5,0.177993,1,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00001_seed001_sev100_Hs110_Tp850.csv,1200000,1200000,2.71635750929515e-15,1.74622982740402e-09,2.72065118571263e-15,0,1
2,State1_Calm,1.1,8.5,0.177993,1,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00002_seed001_sev080_Hs110_Tp850.csv,960000,959999.999999998,2.42531920472781e-15,1.33877620100975e-09,2.4778666575364e-15,0,1
3,State1_Calm,1.1,8.5,0.177993,1,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00003_seed001_sev060_Hs110_Tp850.csv,720000,719999.999999997,4.36557456851006e-15,1.10594555735588e-09,2.59288545967041e-15,0,1
4,State1_Calm,1.1,8.5,0.177993,1,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00004_seed001_sev040_Hs110_Tp850.csv,480000,479999.999999999,2.91038304567337e-15,9.89530235528946e-10,3.30875476739563e-15,0,1
5,State1_Calm,1.1,8.5,0.177993,1,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00005_seed001_sev020_Hs110_Tp850.csv,240000,240000,9.70127681891124e-16,8.44011083245277e-10,5.15190723166763e-15,0,1
6,State1_Calm,1.1,8.5,0.177993,2,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00006_seed002_sev100_Hs110_Tp850.csv,1200000,1200000,1.5522042910258e-15,1.39698386192322e-09,2.57295911250482e-15,0,1
7,State1_Calm,1.1,8.5,0.177993,2,train,pto_damping_loss,0.8,960000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00007_seed002_sev080_Hs110_Tp850.csv,960000,959999.999999998,1.94025536378225e-15,1.10594555735588e-09,2.43109032208824e-15,0,1
8,State1_Calm,1.1,8.5,0.177993,2,train,pto_damping_loss,0.6,720000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00008_seed002_sev060_Hs110_Tp850.csv,720000,719999.999999999,1.61687946981854e-15,1.04773789644241e-09,2.91798627814427e-15,0,1
9,State1_Calm,1.1,8.5,0.177993,2,train,pto_damping_loss,0.4,480000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00009_seed002_sev040_Hs110_Tp850.csv,480000,479999.999999999,2.66785112520059e-15,7.8580342233181e-10,3.07228169335415e-15,0,1
10,State1_Calm,1.1,8.5,0.177993,2,train,pto_damping_loss,0.2,240000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00010_seed002_sev020_Hs110_Tp850.csv,240000,239999.999999999,2.66785112520059e-15,7.27595761418343e-10,5.31342915967752e-15,0,1
11,State1_Calm,1.1,8.5,0.177993,3,train,healthy,1,1200000,C:\Users\Vissal\Downloads\New_WEC_Fault_detection\WEC-Sim\demostage\Matlab\reference_ar_hstp_project\dataset_reference_ideal\run00011_seed003_sev100_Hs110_Tp850.csv,1200000,1200000,2.71635750929515e-15,1.16415321826935e-09,2.41406802959732e-15,0,1
