runID,stateName,Hs,Tp,stateProbability,phaseSeed,split,faultName,severity,Bfault_NsPm
1,State1_Calm,1.1,8.5,0.177993,1,train,healthy,1,1200000
2,State1_Calm,1.1,8.5,0.177993,1,train,pto_damping_loss,0.8,960000
3,State1_Calm,1.1,8.5,0.177993,1,train,pto_damping_loss,0.6,720000
4,State1_Calm,1.1,8.5,0.177993,1,train,pto_damping_loss,0.4,480000
5,State1_Calm,1.1,8.5,0.177993,1,train,pto_damping_loss,0.2,240000
6,State1_Calm,1.1,8.5,0.177993,2,train,healthy,1,1200000
7,State1_Calm,1.1,8.5,0.177993,2,train,pto_damping_loss,0.8,960000
8,State1_Calm,1.1,8.5,0.177993,2,train,pto_damping_loss,0.6,720000
9,State1_Calm,1.1,8.5,0.177993,2,train,pto_damping_loss,0.4,480000
10,State1_Calm,1.1,8.5,0.177993,2,train,pto_damping_loss,0.2,240000
11,State1_Calm,1.1,8.5,0.177993,3,train,healthy,1,1200000
12,State1_Calm,1.1,8.5,0.177993,3,train,pto_damping_loss,0.8,960000
13,State1_Calm,1.1,8.5,0.177993,3,train,pto_damping_loss,0.6,720000
14,State1_Calm,1.1,8.5,0.177993,3,train,pto_damping_loss,0.4,480000
15,State1_Calm,1.1,8.5,0.177993,3,train,pto_damping_loss,0.2,240000
16,State1_Calm,1.1,8.5,0.177993,4,train,healthy,1,1200000
17,State1_Calm,1.1,8.5,0.177993,4,train,pto_damping_loss,0.8,960000
18,State1_Calm,1.1,8.5,0.177993,4,train,pto_damping_loss,0.6,720000
19,State1_Calm,1.1,8.5,0.177993,4,train,pto_damping_loss,0.4,480000
20,State1_Calm,1.1,8.5,0.177993,4,train,pto_damping_loss,0.2,240000
21,State1_Calm,1.1,8.5,0.177993,5,train,healthy,1,1200000
22,State1_Calm,1.1,8.5,0.177993,5,train,pto_damping_loss,0.8,960000
23,State1_Calm,1.1,8.5,0.177993,5,train,pto_damping_loss,0.6,720000
24,State1_Calm,1.1,8.5,0.177993,5,train,pto_damping_loss,0.4,480000
