windowDuration_s,signalName,arOrder,medianDeltaAIC_relativeToAR1,fractionOfProbeFitsLocallyBest
30,surge_m,1,0,0
30,surge_m,2,-779.52916544148,0
30,surge_m,3,-1248.92581777998,0.00333333333333333
30,surge_m,4,-1750.39599926263,0
30,surge_m,5,-2099.52862222376,0.0333333333333333
30,surge_m,6,-2472.4900890562,0.02
30,surge_m,7,-2765.50808766745,0.0283333333333333
30,surge_m,8,-3103.93675111048,0.00833333333333333
30,surge_m,9,-3380.00054298333,0.00166666666666667
30,surge_m,10,-3716.67268412647,0.00333333333333333
30,surge_m,11,-3992.85892234698,0
30,surge_m,12,-4254.27749603577,0
30,surge_m,13,-4413.16449552761,0
30,surge_m,14,-4628.44909362159,0
30,surge_m,15,-4824.16881620877,0
30,surge_m,16,-4993.48412540485,0
30,surge_m,17,-5098.40565235882,0
30,surge_m,18,-5267.59308335655,0
30,surge_m,19,-5370.05015579322,0.0166666666666667
30,surge_m,20,-5458.9491464383,0.885
30,heave_m,1,0,0
30,heave_m,2,-811.257991989434,0
30,heave_m,3,-1281.8190464016,0.0366666666666667
30,heave_m,4,-1866.01269859398,0.0383333333333333
30,heave_m,5,-2279.22350103112,0.0116666666666667
30,heave_m,6,-2736.46370439836,0.0116666666666667
30,heave_m,7,-3066.40338991942,0.00166666666666667
30,heave_m,8,-3421.09164806234,0
30,heave_m,9,-3700.26113410133,0
30,heave_m,10,-4015.0824092551,0
30,heave_m,11,-4288.70213366334,0
30,heave_m,12,-4568.87499448454,0
30,heave_m,13,-4734.03850523394,0
30,heave_m,14,-4913.34182715498,0
30,heave_m,15,-5076.51417061149,0
30,heave_m,16,-5201.07592198947,0
30,heave_m,17,-5308.8579899253,0
30,heave_m,18,-5465.94423534345,0
30,heave_m,19,-5583.85759327043,0.035
30,heave_m,20,-5624.1407841068,0.865
30,pitch_rad,1,0,0
30,pitch_rad,2,-748.967233892062,0
30,pitch_rad,3,-1240.8300881171,0
30,pitch_rad,4,-1751.56087303421,0
30,pitch_rad,5,-2103.38985489898,0.0316666666666667
30,pitch_rad,6,-2415.90037010065,0.0316666666666667
30,pitch_rad,7,-2677.26820448705,0.0283333333333333
30,pitch_rad,8,-3039.42267940118,0.00666666666666667
30,pitch_rad,9,-3345.63387466628,0.00166666666666667
30,pitch_rad,10,-3729.51922258456,0
30,pitch_rad,11,-4048.78123472884,0
30,pitch_rad,12,-4401.25397093881,0
30,pitch_rad,13,-4646.1778929404,0
30,pitch_rad,14,-4816.44376652717,0
30,pitch_rad,15,-4955.76526157151,0
30,pitch_rad,16,-5129.86188235679,0
30,pitch_rad,17,-5235.10488892751,0
30,pitch_rad,18,-5349.53362539226,0
30,pitch_rad,19,-5454.93752550734,0.00666666666666667
30,pitch_rad,20,-5536.23751660628,0.893333333333333
30,relDisp_m,1,0,0
30,relDisp_m,2,-807.005335121354,0
30,relDisp_m,3,-1265.02684513041,0.00333333333333333
30,relDisp_m,4,-1855.51328848498,0
30,relDisp_m,5,-2260.20241385946,0.03
30,relDisp_m,6,-2709.7186788875,0.0216666666666667
30,relDisp_m,7,-3035.09102159542,0.0183333333333333
30,relDisp_m,8,-3372.97595380471,0.0183333333333333
30,relDisp_m,9,-3634.46495843874,0.00333333333333333
30,relDisp_m,10,-3899.90477332179,0.00166666666666667
30,relDisp_m,11,-4108.36893921418,0.00333333333333333
30,relDisp_m,12,-4311.1960710523,0
30,relDisp_m,13,-4489.98528414884,0
30,relDisp_m,14,-4653.87160027805,0
30,relDisp_m,15,-4774.49108183676,0
30,relDisp_m,16,-4904.48973917473,0
