windowDuration_s,arOrder,medianDeltaAIC_relativeToAR1,fractionOfProbeFitsLocallyBest,selectedCommonOrder
60,1,0,0,0
60,2,-1562.69564065591,0,0
60,3,-2470.18744375123,0.00194444444444444,0
60,4,-3585.38871400371,0.00166666666666667,0
60,5,-4308.89542265589,0.00944444444444444,0
60,6,-5127.70339755005,0.0247222222222222,0
60,7,-5696.98813341672,0.0213888888888889,0
60,8,-6371.92727301376,0.0252777777777778,0
60,9,-6899.48248082492,0.00583333333333333,0
60,10,-7543.42748352827,0.00444444444444444,0
60,11,-7984.81074530165,0.00305555555555556,0
60,12,-8436.13192850307,0.000833333333333333,0
60,13,-8801.55622034929,0,0
60,14,-9145.31509287281,0,0
60,15,-9388.11196277094,0,0
60,16,-9708.43139156841,0,0
60,17,-9932.18171725378,0,0
60,18,-10166.514860866,0,0
60,19,-10422.8735072186,0.00416666666666667,0
60,20,-10683.1532523989,0.897222222222222,1
