windowDuration_s,signalName,arOrder,medianDeltaAICc_relativeToAR1,fractionOfProbeFitsLocallyBest
30,surge_m,1,0,0
30,surge_m,2,-779.474559815446,0
30,surge_m,3,-1248.78846124537,0.00333333333333333
30,surge_m,4,-1750.14716422069,0
30,surge_m,5,-2099.13898258412,0.0366666666666667
30,surge_m,6,-2471.92970349582,0.02
30,surge_m,7,-2764.74638230011,0.03
30,surge_m,8,-3102.94250154176,0.00333333333333333
30,surge_m,9,-3378.74185572464,0.00166666666666667
30,surge_m,10,-3715.11697734055,0.00333333333333333
30,surge_m,11,-3990.97290589574,0
30,surge_m,12,-4252.02715080002,0
30,surge_m,13,-4410.5150519664,0
30,surge_m,14,-4625.36500953751,0
30,surge_m,15,-4820.61375368356,0
30,surge_m,16,-4989.42092686797,0
30,surge_m,17,-5093.79631574949,0
30,surge_m,18,-5262.39873633777,0
30,surge_m,19,-5364.23102897409,0
30,surge_m,20,-5452.46454555835,0
30,surge_m,21,-5543.8590149659,0
30,surge_m,22,-5571.96668369007,0
30,surge_m,23,-5606.09208404897,0
30,surge_m,24,-5624.58020872439,0
30,surge_m,25,-5643.30557232787,0
30,surge_m,26,-5655.07934903803,0.00333333333333333
30,surge_m,27,-5666.32693850966,0.035
30,surge_m,28,-5667.17152710092,0.0883333333333333
30,surge_m,29,-5674.82653681917,0.125
30,surge_m,30,-5676.91182623917,0.65
30,heave_m,1,0,0
30,heave_m,2,-811.203386363399,0
30,heave_m,3,-1281.68168986698,0.04
30,heave_m,4,-1865.76386355204,0.0366666666666667
30,heave_m,5,-2278.83386139148,0.015
30,heave_m,6,-2735.90331883797,0.00833333333333333
30,heave_m,7,-3065.64168455208,0
30,heave_m,8,-3420.09739849362,0
30,heave_m,9,-3699.00244684264,0
30,heave_m,10,-4013.52670246918,0
30,heave_m,11,-4286.8161172121,0
30,heave_m,12,-4566.6246492488,0
30,heave_m,13,-4731.38906167273,0
30,heave_m,14,-4910.25774307089,0
30,heave_m,15,-5072.95910808628,0
30,heave_m,16,-5197.01272345258,0
30,heave_m,17,-5304.24865331596,0
30,heave_m,18,-5460.74988832467,0
30,heave_m,19,-5578.0384664513,0
30,heave_m,20,-5617.65618322685,0
30,heave_m,21,-5625.35192366278,0
30,heave_m,22,-5674.04172157422,0
30,heave_m,23,-5687.62740607494,0
30,heave_m,24,-5714.06808470664,0
30,heave_m,25,-5727.08122860698,0.005
30,heave_m,26,-5731.92307304983,0.00666666666666667
30,heave_m,27,-5752.84507604344,0.0166666666666667
30,heave_m,28,-5756.3710497724,0.065
30,heave_m,29,-5762.44615099957,0.34
30,heave_m,30,-5761.11778746521,0.466666666666667
30,pitch_rad,1,0,0
30,pitch_rad,2,-748.912628266028,0
30,pitch_rad,3,-1240.69273158248,0
30,pitch_rad,4,-1751.31203799227,0
30,pitch_rad,5,-2103.00021525934,0.0333333333333333
30,pitch_rad,6,-2415.33998454026,0.03
30,pitch_rad,7,-2676.50649911971,0.03
30,pitch_rad,8,-3038.42842983246,0.005
30,pitch_rad,9,-3344.37518740759,0.00166666666666667
30,pitch_rad,10,-3727.96351579864,0
30,pitch_rad,11,-4046.89521827761,0
30,pitch_rad,12,-4399.00362570306,0
30,pitch_rad,13,-4643.52844937919,0
30,pitch_rad,14,-4813.35968244308,0
30,pitch_rad,15,-4952.2101990463,0
30,pitch_rad,16,-5125.79868381991,0
30,pitch_rad,17,-5230.49555231818,0
30,pitch_rad,18,-5344.33927837349,0
30,pitch_rad,19,-5449.11839868822,0
30,pitch_rad,20,-5529.75291572633,0
30,pitch_rad,21,-5601.13480083183,0
30,pitch_rad,22,-5637.50349548733,0
30,pitch_rad,23,-5639.87841267972,0
30,pitch_rad,24,-5647.60657396996,0
30,pitch_rad,25,-5671.40392143856,0
30,pitch_rad,26,-5676.40435222848,0.02
30,pitch_rad,27,-5675.00461012871,0.0816666666666667
30,pitch_rad,28,-5679.90505621295,0.121666666666667
30,pitch_rad,29,-5690.6692920686,0.285
30,pitch_rad,30,-5690.50677029753,0.391666666666667
30,relDisp_m,1,0,0
30,relDisp_m,2,-806.95072949532,0
30,relDisp_m,3,-1264.88948859579,0.005
30,relDisp_m,4,-1855.26445344305,0
30,relDisp_m,5,-2259.81277421982,0.035
30,relDisp_m,6,-2709.15829332711,0.02
30,relDisp_m,7,-3034.32931622808,0.02
30,relDisp_m,8,-3371.98170423599,0.0116666666666667
30,relDisp_m,9,-3633.20627118005,0.005
30,relDisp_m,10,-3898.34906653587,0.00166666666666667
30,relDisp_m,11,-4106.48292276294,0.00166666666666667
30,relDisp_m,12,-4308.94572581655,0
30,relDisp_m,13,-4487.33584058763,0
30,relDisp_m,14,-4650.78751619396,0
30,relDisp_m,15,-4770.93601931155,0
30,relDisp_m,16,-4900.42654063785,0
30,relDisp_m,17,-5029.78323480362,0
