windowDuration_s,arOrder,medianDeltaAICc_relativeToAR1,fractionOfProbeFitsLocallyBest,selectedCommonOrder
60,1,0,0,0
60,2,-1562.6686594343,0,0
60,3,-2470.11978548894,0.0025,0
60,4,-3585.26654360216,0.00166666666666667,0
60,5,-4308.70476384203,0.0119444444444444,0
60,6,-5127.43013094904,0.0241666666666667,0
60,7,-5696.61799459168,0.0208333333333333,0
60,8,-6371.44585047172,0.0244444444444444,0
60,9,-6898.87521398853,0.00611111111111111,0
60,10,-7542.67966067233,0.00305555555555556,0
60,11,-7983.90750145378,0.00305555555555556,0
60,12,-8435.05824330793,0.000833333333333333,0
60,13,-8800.29691589535,0,0
60,14,-9143.85483148108,0,0
60,15,-9386.43524474466,0,0
60,16,-9706.52255290311,0,0
60,17,-9930.02492730661,0,0
60,18,-10164.0941199838,0,0
60,19,-10420.1726443231,0,0
60,20,-10680.1559225295,0.000555555555555556,0
60,21,-10855.7794400489,0,0
60,22,-10994.7543950316,0,0
60,23,-11057.1809945041,0,0
60,24,-11112.1464089273,0,0
60,25,-11117.5285640298,0,0
60,26,-11135.3837237937,0.000555555555555556,0
60,27,-11158.6998640427,0.00388888888888889,0
60,28,-11176.5057141144,0.025,0
60,29,-11185.8543745817,0.174444444444444,0
60,30,-11192.6693533198,0.696944444444444,1
