time_s,surge_m,heave_m,pitch_rad,relDisp_m,relVel_mps,ptoForce_N
100,0.385741257086252,-0.513271312535638,0.0109124992524927,0.083850537305877,-0.206675617044792,99204.2961814997
100.2,0.537604368080141,-0.791735253018357,0.0151847970943497,0.067343708725755,-0.332409578655698,159556.597754735
100.4,0.462913785447371,-0.801543354356727,0.0130468713429402,-0.0120073060445891,-0.33949634520667,162958.245699202
100.6,0.458124419141314,-0.920070068376355,0.0128923223987506,-0.0771561969133244,-0.375482803752304,180231.745801106
100.8,0.396381746906607,-0.980486936802946,0.0111327155261177,-0.15646684233801,-0.374749877725215,179879.941308103
101,0.353513928230729,-1.07768855734741,0.00991565052086677,-0.229144628274788,-0.376012729727673,180486.110269283
101.2,0.282445670500006,-1.1471524386559,0.00790932786839792,-0.304127571513883,-0.355187025113642,170489.772054548
101.4,0.21430629585307,-1.225482377612,0.00599377544271895,-0.371689049925583,-0.328689281294884,157770.855021544
101.6,0.131570373523292,-1.28629104534141,0.0036707045385623,-0.434122598536085,-0.288149567575148,138311.79243607
101.8,0.0462708836658772,-1.34142431669289,0.00127790407522327,-0.48682980060197,-0.240426242238461,115404.596274461
102,-0.0458364148487386,-1.38183848406608,-0.00130681874106392,-0.529530485998799,-0.184094649570714,88365.4317939425
102.2,-0.140766433548316,-1.40914181317192,-0.00397077352904139,-0.560223201736642,-0.121833948522564,58480.2952908303
102.4,-0.237270807182098,-1.42155753522902,-0.00667612560515487,-0.577971368291306,-0.0548951067379603,26349.6512342208
102.6,-0.333344196422721,-1.41832211888754,-0.00936119637610191,-0.581991563908728,0.0151904010739468,-7291.39251549432
102.8,-0.42676320492943,-1.39901261845329,-0.0119569494853655,-0.571811247741844,0.0868399750488774,-41683.1880234609
103,-0.515115653700061,-1.36355935674739,-0.0143897511131607,-0.547282142302176,0.158389339998214,-76026.8831991429
103.2,-0.59587489985717,-1.31226467970981,-0.0165855224936128,-0.50859863384558,0.228075377486703,-109476.181193617
103.4,-0.666519189744307,-1.24582414929035,-0.0184745888873949,-0.456317194661563,0.294044568996905,-141141.393118514
103.6,-0.724682838869991,-1.16534400773788,-0.0199963105692097,-0.391371032399616,0.354392578159178,-170108.437516405
103.8,-0.7683153947685,-1.0723477272074,-0.021102649067744,-0.315073784756902,0.407233401754377,-195472.0328421
104,-0.795820668770962,-0.968765154654059,-0.0217601508225545,-0.229107012924552,0.450790588815115,-216379.482631255
104.2,-0.806151429419349,-0.856899934456576,-0.0219502997902392,-0.135488181432477,0.483499036189413,-232079.537370918
104.4,-0.798846631373385,-0.739373956266596,-0.0216686295095775,-0.0365183269198212,0.504104074661767,-241969.955837647
104.6,-0.774012696853531,-0.619050780049349,-0.0209232380170741,0.065288736193572,0.511745058257806,-245637.627963747
104.8,-0.732263587750243,-0.498942623397824,-0.0197333346150787,0.167291507098674,0.506013412644383,-242886.438069303
105,-0.674641708060833,-0.382107085733166,-0.0181281897795119,0.266814441720651,0.486979615306892,-233750.215347308
105.2,-0.602540806861991,-0.271540218516106,-0.0161464773102663,0.361243817205521,0.455188776277514,-218490.612613206
105.4,-0.517643924953967,-0.170072079793304,-0.0138356576897846,0.448119883286103,0.411628838845286,-197581.842645737
105.6,-0.421877770220676,-0.0802700146329806,-0.0112509015476456,0.525220427909241,0.357677551381811,-171685.224663269
105.8,-0.317374737471237,-0.00435406971455435,-0.00845316228950409,0.590632097210722,0.295033753686283,-141616.201769415
106,-0.206429350900987,0.0558715420660238,-0.00550634038570537,0.642806681217305,0.225635959236401,-108305.260433472
106.2,-0.0914389198032189,0.0990672285619014,-0.00247390725142712,0.680599897027215,0.151568658269573,-72752.9559693947
106.4,0.0251728300177828,0.12438368745565,0.000584301143378965,0.703290205017921,0.0749564993444369,-35979.1196853293
106.6,0.141039499878899,0.131462054419655,0.0036143023725437,0.710575496830594,-0.00215015854534365,1032.07610176495
106.8,0.253925584797054,0.120408122598913,0.00656856990170355,0.702546785727899,-0.0778885795747603,37386.518195885
107,0.361771131760462,0.0917432557838268,0.00940483577361296,0.679640651653226,-0.15067964879064,72326.231419507
107.2,0.462695386859921,0.0463381946681513,0.0120834610827513,0.642575837791107,-0.219287129493318,105257.822156792
107.4,0.554959791062135,-0.0146608056997896,0.014564211647676,0.592283112742834,-0.282823513998131,135755.286719103
107.6,0.636904741114177,-0.0899021773360266,0.0168035013183725,0.529840032328489,-0.340694901918268,163533.552920768
107.8,0.706885274446011,-0.177884490928603,0.0187530680593432,0.456422446869916,-0.392490816393132,188395.591868703
108,0.763234438658741,-0.276988720682843,0.0203606640652339,0.373281978326932,-0.437839031831842,210162.735279284
108.2,0.804278091396075,-0.385483589768421,0.0215728029935974,0.281753518959094,-0.476256173154273,228602.963114051
108.4,0.828412521267093,-0.501506099451124,0.0223390911851174,0.183290131909347,-0.507028721686277,243373.786409413
108.6,0.834240095920616,-0.62302507061968,0.0226173290939846,0.0795161073302087,-0.529154702827105,253994.25735701
108.8,0.820742679055823,-0.747799913795211,0.0223784814569517,-0.0277160688162029,-0.541364756372983,259855.083059031
