runID,stateName,Hs,Tp,phaseSeed,split,faultName,severity,sourceFile,processedFile,nRawSamples,nPostRampSamples,nPreparedSamples,rawFs_Hz,preparedFs_Hz,surgeEnergyAtOrBelow2Hz,heaveEnergyAtOrBelow2Hz,pitchEnergyAtOrBelow2Hz,relDispEnergyAtOrBelow2Hz,relVelEnergyAtOrBelow2Hz,ptoForceEnergyAtOrBelow2Hz
1,State1_Calm,1.1,8.5,1,train,healthy,1,run00001_seed001_sev100_Hs110_Tp850.csv,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.99999904854392,0.999997464913377,0.999997386964009,0.999997356062681,0.999998066066254,0.999998066066254
2,State1_Calm,1.1,8.5,1,train,pto_damping_loss,0.8,run00002_seed001_sev080_Hs110_Tp850.csv,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999999057635568,0.999997475543724,0.999997431529846,0.999997325945856,0.999998076091586,0.999998076091586
3,State1_Calm,1.1,8.5,1,train,pto_damping_loss,0.6,run00003_seed001_sev060_Hs110_Tp850.csv,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999999067426343,0.999997487239476,0.999997474486787,0.999997296163996,0.999998091963425,0.999998091963425
4,State1_Calm,1.1,8.5,1,train,pto_damping_loss,0.4,run00004_seed001_sev040_Hs110_Tp850.csv,run00004_seed001_sev040_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999999077817926,0.999997499247292,0.999997517479991,0.999997270925194,0.999998116569362,0.999998116569362
5,State1_Calm,1.1,8.5,1,train,pto_damping_loss,0.2,run00005_seed001_sev020_Hs110_Tp850.csv,run00005_seed001_sev020_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999999088720418,0.999997510799183,0.999997563904609,0.999997263513598,0.999998152212717,0.999998152212717
6,State1_Calm,1.1,8.5,2,train,healthy,1,run00006_seed002_sev100_Hs110_Tp850.csv,run00006_seed002_sev100_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999999195972882,0.999998155072368,0.999999393671726,0.999998704948517,0.999999208565403,0.999999208565403
7,State1_Calm,1.1,8.5,2,train,pto_damping_loss,0.8,run00007_seed002_sev080_Hs110_Tp850.csv,run00007_seed002_sev080_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999999193869757,0.999998173553947,0.999999379198385,0.999998732728247,0.999999237914777,0.999999237914777
8,State1_Calm,1.1,8.5,2,train,pto_damping_loss,0.6,run00008_seed002_sev060_Hs110_Tp850.csv,run00008_seed002_sev060_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.99999919487255,0.999998194854784,0.999999370087694,0.999998776978974,0.999999269383832,0.999999269383832
9,State1_Calm,1.1,8.5,2,train,pto_damping_loss,0.4,run00009_seed002_sev040_Hs110_Tp850.csv,run00009_seed002_sev040_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999999200103273,0.999998220361886,0.999999371695202,0.999998846689,0.999999302747554,0.999999302747554
10,State1_Calm,1.1,8.5,2,train,pto_damping_loss,0.2,run00010_seed002_sev020_Hs110_Tp850.csv,run00010_seed002_sev020_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999999210889022,0.999998251843491,0.999999390123791,0.999998958191336,0.999999336699251,0.999999336699251
11,State1_Calm,1.1,8.5,3,train,healthy,1,run00011_seed003_sev100_Hs110_Tp850.csv,run00011_seed003_sev100_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999998221529917,0.99999836104018,0.999998197096776,0.999998219419649,0.999998100839725,0.999998100839724
12,State1_Calm,1.1,8.5,3,train,pto_damping_loss,0.8,run00012_seed003_sev080_Hs110_Tp850.csv,run00012_seed003_sev080_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999998215654194,0.999998337675817,0.999998156402134,0.999998167626089,0.999998198861995,0.999998198861995
13,State1_Calm,1.1,8.5,3,train,pto_damping_loss,0.6,run00013_seed003_sev060_Hs110_Tp850.csv,run00013_seed003_sev060_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999998208877964,0.999998308027989,0.999998113345676,0.999998115966527,0.999998305193763,0.999998305193763
14,State1_Calm,1.1,8.5,3,train,pto_damping_loss,0.4,run00014_seed003_sev040_Hs110_Tp850.csv,run00014_seed003_sev040_Hs110_Tp850_5hz.csv,20001,19001,9501,10,5,0.999998200961194,0.999998272242585,0.999998066412276,0.999998075459313,0.999998418334359,0.999998418334358
