windowID,sourceRunID,processedFile,split,phaseSeed,Hs,Tp,faultName,severity,startRow,endRow,startTime_s,endTime_s
1,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1,600,100,219.8
2,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,301,900,160,279.8
3,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,601,1200,220,339.8
4,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,901,1500,280,399.8
5,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1201,1800,340,459.8
6,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1501,2100,400,519.8
7,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,1801,2400,460,579.8
8,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,2101,2700,520,639.8
9,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,2401,3000,580,699.8
10,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,2701,3300,640,759.8
11,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,3001,3600,700,819.8
12,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,3301,3900,760,879.8
13,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,3601,4200,820,939.8
14,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,3901,4500,880,999.8
15,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,4201,4800,940,1059.8
16,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,4501,5100,1000,1119.8
17,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,4801,5400,1060,1179.8
18,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,5101,5700,1120,1239.8
19,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,5401,6000,1180,1299.8
20,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,5701,6300,1240,1359.8
21,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,6001,6600,1300,1419.8
22,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,6301,6900,1360,1479.8
23,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,6601,7200,1420,1539.8
24,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,6901,7500,1480,1599.8
25,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,7201,7800,1540,1659.8
26,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,7501,8100,1600,1719.8
27,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,7801,8400,1660,1779.8
28,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,8101,8700,1720,1839.8
29,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,8401,9000,1780,1899.8
30,1,run00001_seed001_sev100_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,healthy,1,8701,9300,1840,1959.8
31,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,1,600,100,219.8
32,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,301,900,160,279.8
33,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,601,1200,220,339.8
34,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,901,1500,280,399.8
35,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,1201,1800,340,459.8
36,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,1501,2100,400,519.8
37,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,1801,2400,460,579.8
38,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,2101,2700,520,639.8
39,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,2401,3000,580,699.8
40,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,2701,3300,640,759.8
41,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,3001,3600,700,819.8
42,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,3301,3900,760,879.8
43,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,3601,4200,820,939.8
44,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,3901,4500,880,999.8
45,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,4201,4800,940,1059.8
46,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,4501,5100,1000,1119.8
47,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,4801,5400,1060,1179.8
48,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,5101,5700,1120,1239.8
49,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,5401,6000,1180,1299.8
50,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,5701,6300,1240,1359.8
51,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,6001,6600,1300,1419.8
52,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,6301,6900,1360,1479.8
53,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,6601,7200,1420,1539.8
54,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,6901,7500,1480,1599.8
55,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,7201,7800,1540,1659.8
56,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,7501,8100,1600,1719.8
57,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,7801,8400,1660,1779.8
58,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,8101,8700,1720,1839.8
59,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,8401,9000,1780,1899.8
60,2,run00002_seed001_sev080_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.8,8701,9300,1840,1959.8
61,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,1,600,100,219.8
62,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,301,900,160,279.8
63,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,601,1200,220,339.8
64,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,901,1500,280,399.8
65,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,1201,1800,340,459.8
66,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,1501,2100,400,519.8
67,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,1801,2400,460,579.8
68,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,2101,2700,520,639.8
69,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,2401,3000,580,699.8
70,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,2701,3300,640,759.8
71,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,3001,3600,700,819.8
72,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,3301,3900,760,879.8
73,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,3601,4200,820,939.8
74,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,3901,4500,880,999.8
75,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,4201,4800,940,1059.8
76,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,4501,5100,1000,1119.8
77,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,4801,5400,1060,1179.8
78,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,5101,5700,1120,1239.8
79,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,5401,6000,1180,1299.8
80,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,5701,6300,1240,1359.8
81,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,6001,6600,1300,1419.8
82,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,6301,6900,1360,1479.8
83,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,6601,7200,1420,1539.8
84,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,6901,7500,1480,1599.8
85,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,7201,7800,1540,1659.8
86,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,7501,8100,1600,1719.8
87,3,run00003_seed001_sev060_Hs110_Tp850_5hz.csv,train,1,1.1,8.5,pto_damping_loss,0.6,7801,8400,1660,1779.8
